"Platform Registration ID","Account: Account ID","Login Number","Server Name","Account Type","Client Group Name","Status","Currency","Leverage","Swap Free"
"a0A9N00000EXlyF","0019N0000063ogd","39198254","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","400","Ya"
"a0A9N00000EXm0m","0019N0000063oUC","38794321","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","1:400","Ya"
"a0A9N00000EXm2W","0019N0000064Tuv","39148652","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXm3A","0019N0000063oh1","39186687","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFreeMDN","Enabled","USD","400","Ya"
"a0A9N00000EXm7a","0019N0000063oUC","39109779","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXmG4","0019N0000063npf","39198203","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EXmNZ","0019N0000063ofE","39116000","PTGlobalKapitalInv-MT5-Live","Premium Zero","real\GKB\Premium-Zero-Variable-SwapFree-SO40","Enabled","USD","400","Ya"
"a0A9N00000EXmOc","0019N0000063oxA","38940989","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXmPz","0019N0000063oxA","39189988","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXmQO","0019N0000063oxA","39049968","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXmQi","0019N0000063oh1","39186707","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","1:400","Ya"
"a0A9N00000EXmS1","0019N0000063ou2","38995493","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","1:400","Ya"
"a0A9N00000EXmXF","0019N0000063oh1","39023210","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFreeMDN","Enabled","USD","400","Ya"
"a0A9N00000EXmhM","0019N0000063p3O","39149402","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","1:400","Ya"
"a0A9N00000EXmls","0019N0000063p3O","39149861","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","1:400","Ya"
"a0A9N00000EXmmg","0019N0000063p3O","39085840","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","1:400","Ya"
"a0A9N00000EXmoq","0019N0000063p3O","38941076","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EXmoz","0019N0000063pOk","39066185","PTGlobalKapitalInv-MT5-Live","Classic-Fixed-Digital","real\GKB\Classic-Fixed-SwapFreeJKT2","Enabled","USD","400","Ya"
"a0A9N00000EXmp0","0019N0000063p3O","38955314","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","1:400","Ya"
"a0A9N00000EXmp5","0019N0000063p3O","39030608","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","1:400","Ya"
"a0A9N00000EXmqK","0019N0000064U7H","38795505","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed","Enabled","USD","400","Tidak"
"a0A9N00000EXmsK","0019N0000063pBC","39094127","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeB","Enabled","USD","400","Ya"
"a0A9N00000EXmww","0019N0000063p5C","38837741","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed","Enabled","USD","1:400","Tidak"
"a0A9N00000EXn2D","0019N0000064ROu","39093100","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree-SO100","Enabled","USD","1000","Ya"
"a0A9N00000EXn7f","0019N0000063pUs","39035505","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXn8F","0019N0000064WSs","39001949","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFree","Enabled","USD","100","Ya"
"a0A9N00000EXn98","0019N0000063pJV","39146694","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","1:400","Ya"
"a0A9N00000EXnAD","0019N0000063pQG","38944295","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFreeMDN","Enabled","USD","400","Ya"
"a0A9N00000EXnGV","0019N0000063pUs","39033658","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXnKG","0019N0000063pOk","38994610","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFreeJKT2","Enabled","USD","400","Ya"
"a0A9N00000EXnMK","0019N0000063pQT","39196825","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","1:400","Ya"
"a0A9N00000EXnPC","0019N0000063pfT","39093857","PTGlobalKapitalInv-MT5-Live","Professional","real\IB\Professional-SwapFree-NME","Enabled","USD","1:400","Ya"
"a0A9N00000EXnQf","0019N0000063pYW","39099853","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXnSn","0019N0000063pZP","39147028","PTGlobalKapitalInv-MT5-Live","Classic-Fixed-Digital","real\GKB\Classic-Fixed-SwapFree-Digital","Enabled","USD","400","Ya"
"a0A9N00000EXnT9","0019N0000063p80","39196976","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","400","Ya"
"a0A9N00000EXnVU","0019N0000063pYW","39122482","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXnZe","0019N0000063pm7","38995030","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EXnbM","0019N0000063pZP","39169618","PTGlobalKapitalInv-MT5-Live","Classic-Fixed-Digital","real\GKB\Classic-Fixed-SwapFree-Digital","Enabled","USD","400","Ya"
"a0A9N00000EXnbm","0019N0000064RaW","39196991","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFree-SO80","Enabled","USD","400","Ya"
"a0A9N00000EXncs","0019N0000063pnM","38844880","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed","Enabled","USD","400","Tidak"
"a0A9N00000EXneF","0019N0000064RUW","39091731","PTGlobalKapitalInv-MT5-Live","Classic","real\GKB\Classic-Fixed","Enabled","USD","400","Tidak"
"a0A9N00000EXnef","0019N0000063p5H","38876848","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","1:400","Ya"
"a0A9N00000EXnez","0019N0000064RZx","39196882","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFreeJKT2","Enabled","USD","400","Ya"
"a0A9N00000EXnfg","0019N0000063q63","39101773","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","1:400","Ya"
"a0A9N00000EXnfp","0019N0000063pnM","38919128","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed","Enabled","USD","400","Tidak"
"a0A9N00000EXnfw","0019N0000064UDI","39147019","PTGlobalKapitalInv-MT5-Live","Professional","real\GKB\Professional-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXnho","0019N0000063pkq","38792572","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXnj8","0019N0000064RYl","39196862","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EXnjC","0019N0000063pmH","38883217","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXnja","0019N0000063pm7","39032271","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EXnkl","0019N0000064U9G","39032050","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXnkn","0019N0000063pnP","39148860","PTGlobalKapitalInv-MT5-Live","Classic","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","100","Ya"
"a0A9N00000EXnlv","0019N0000064WAp","39071335","PTGlobalKapitalInv-MT5-Live","Premium Zero","real\GKB\Premium-Zero-Variable-SwapFree","Enabled","USD","100","Ya"
"a0A9N00000EXnmc","0019N0000063puP","38946131","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXnmg","0019N0000063pso","39197574","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXnn1","0019N0000063pqs","39026121","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EXno9","0019N0000064UBO","39031557","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Professional-SwapFreeSBY","Enabled","USD","1:400","Ya"
"a0A9N00000EXszq","0019N0000063q63","39034158","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","1:400","Ya"
"a0A9N00000EY1jt","0019N0000063piX","39090983","PTGlobalKapitalInv-MT5-Live","Professional","real\IB\Professional-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EY6zi","0019N0000063qBj","38980449","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree-NME","Enabled","USD","400","Ya"
"a0A9N00000EY9gm","0019N0000064UBa","39151730","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","1:400","Ya"
"a0A9N00000EYAAf","0019N0000064U96","39146292","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EYBEb","0019N0000063plc","39104269","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EYNTb","0019N0000063q63","39167137","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","1:400","Ya"
"a0A9N00000EYauz","0019N0000064RlJ","39195523","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","400","Ya"
"a0A9N00000EYav1","0019N0000063qSt","39195602","PTGlobalKapitalInv-MT5-Live","Premium","real\IB\Premium-Zero-Variable-SwapFree-SO40","Enabled","USD","400","Ya"
"a0A9N00000EYcwT","0019N0000063qBj","38910962","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree-NME","Enabled","USD","400","Ya"
"a0A9N00000EYd4U","0019N0000063qBj","38930806","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree-NME","Enabled","USD","400","Ya"
"a0A9N00000EYihY","0019N0000063q7X","39090592","PTGlobalKapitalInv-MT5-Live","Classic","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EYpms","0019N0000063pwv","38992043","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EYwRm","0019N0000063qf2","39197385","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZ2gx","0019N0000064T3m","38835211","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeSBY","Enabled","USD","1:400","Ya"
"a0A9N00000EZ4yz","0019N0000063pwv","39184965","PTGlobalKapitalInv-MT5-Live","Classic Gold","real\GKB\Classic-Fixed-GoldPromo-SwapFree-JKT-SO40","Enabled","USD","400","Ya"
"a0A9N00000EZ98E","0019N0000064UJ8","39030741","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFreeJKT2-SO20","Enabled","USD","200","Ya"
"a0A9N00000EZEGI","0019N0000064RjU","39195826","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZLBL","0019N0000064RT3","39195815","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeSBY","Enabled","USD","1:400","Ya"
"a0A9N00000EZTeC","0019N0000063qrt","39094626","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZTnw","0019N0000064Tbf","38941679","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeB","Enabled","USD","1:400","Ya"
"a0A9N00000EZTos","0019N0000063qOF","39063369","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFreeJKT2","Enabled","USD","400","Ya"
"a0A9N00000EZTpf","0019N0000063qTI","39195491","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeB","Enabled","USD","400","Ya"
"a0A9N00000EZTxG","0019N0000063qOF","39071366","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFreeJKT2","Enabled","USD","400","Ya"
"a0A9N00000EZTxH","0019N0000063qOF","39096503","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFreeJKT2","Enabled","USD","400","Ya"
"a0A9N00000EZTz5","0019N0000063qOF","39043567","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFreeJKT2","Enabled","USD","400","Ya"
"a0A9N00000EZU7Y","0019N0000063qWZ","39195487","PTGlobalKapitalInv-MT5-Live","Classic-Fixed-Digital","real\GKB\Classic-Fixed-SwapFree-Digital","Enabled","USD","400","Ya"
"a0A9N00000EZUAq","0019N0000063qlb","39195245","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZUHi","0019N0000063qjz","39117203","PTGlobalKapitalInv-MT5-Live","Professional","real\IB\Professional-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZUPA","0019N0000064RYu","39195132","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EZUUh","0019N0000063qmw","39029395","PTGlobalKapitalInv-MT5-Live","Classic-Fixed-Digital","real\GKB\Classic-Fixed-SwapFree-Digital","Enabled","USD","400","Ya"
"a0A9N00000EZUXw","0019N0000064Raj","39089129","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","1:400","Ya"
"a0A9N00000EZUYa","0019N0000063qWt","39194886","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EZUg2","0019N0000064RXk","39090955","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZUgc","0019N0000064RNe","39193439","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree30D-SO40","Enabled","USD","400","Ya"
"a0A9N00000EZUhQ","0019N0000063qsO","39146289","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","1:400","Ya"
"a0A9N00000EZUi5","0019N0000063qvv","38753821","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZUkk","0019N0000063qbp","38879724","PTGlobalKapitalInv-MT5-Live","Classic","real\GKB\Classic-FixedJKT2","Enabled","USD","400","Tidak"
"a0A9N00000EZUlH","0019N0000064UWN","39028479","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFreeMDN","Enabled","USD","400","Ya"
"a0A9N00000EZUlI","0019N0000063rA2","39113413","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SO100","Enabled","USD","1000","Tidak"
"a0A9N00000EZUmh","0019N0000063qws","39088429","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-FixedSBY","Enabled","USD","1:400","Tidak"
"a0A9N00000EZUnC","0019N0000064Row","39194741","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZUoM","0019N0000063rCG","38860579","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeSBY","Enabled","USD","1:400","Ya"
"a0A9N00000EZUoR","0019N0000063rH9","38854943","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed","Enabled","USD","400","Tidak"
"a0A9N00000EZUqs","0019N0000063qn0","39145686","PTGlobalKapitalInv-MT5-Live","Professional","real\GKB\Professional-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZUt5","0019N0000063qsO","39146110","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","1:400","Ya"
"a0A9N00000EZUtE","0019N0000063qkb","39155259","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZUua","0019N0000063qsO","39144810","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeMDN","Enabled","USD","1:400","Ya"
"a0A9N00000EZV1z","0019N0000063rH9","39183598","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed","Enabled","USD","400","Tidak"
"a0A9N00000EZV3R","0019N0000063rKe","39028268","PTGlobalKapitalInv-MT5-Live","Professional","real\GKB\Professional-SwapFree","Enabled","USD","200","Ya"
"a0A9N00000EZVD1","0019N0000063rH9","38845891","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed","Enabled","USD","400","Tidak"
"a0A9N00000EZVEi","0019N0000063qnl","39144137","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZVF1","0019N0000063qnl","39157499","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZVFU","0019N0000063rEt","39144768","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZVGO","0019N0000063rH9","39188739","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed","Enabled","USD","400","Tidak"
"a0A9N00000EZVKE","0019N0000063qzD","38753561","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZVKO","0019N0000064RlW","39193962","PTGlobalKapitalInv-MT5-Live","Classic","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZVKU","0019N0000063qzD","39174800","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZVMr","0019N0000063rCG","39194315","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeSBY","Enabled","USD","400","Ya"
"a0A9N00000EZVPM","001Oj00000Aq9uI","39088160","PTGlobalKapitalInv-MT5-Live","Professional","real\GKB\Professional-NME","Enabled","USD","1:400","Tidak"
"a0A9N00000EZVPu","0019N0000063qwX","39194161","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","1:400","Ya"
"a0A9N00000EZVQY","0019N0000063rCG","38831443","PTGlobalKapitalInv-MT5-Live","Classic","real\IB\Classic-Fixed-SwapFreeSBY","Enabled","USD","400","Ya"
"a0A9N00000EZVS0","0019N0000063rKE","39088415","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZVSi","0019N0000063r3x","39116045","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","400","Ya"
"a0A9N00000EZVT9","0019N0000063r3x","39156265","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreePTK","Enabled","USD","1:400","Ya"
"a0A9N00000EZVTH","0019N0000063rJQ","39028377","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFreeB","Enabled","USD","400","Ya"
"a0A9N00000EZVTh","0019N0000063rMw","39014300","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree-NME","Enabled","USD","400","Ya"
"a0A9N00000EZVVI","0019N0000063rLt","39002328","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SO100","Enabled","USD","1000","Tidak"
"a0A9N00000EZVVn","0019N0000064Rok","39193954","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","1:400","Ya"
"a0A9N00000EZVXi","0019N0000063rCG","38854075","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeSBY","Enabled","USD","1:400","Ya"
"a0A9N00000EZVXv","0019N0000063r9L","39095373","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZVYi","0019N0000063r9L","39142092","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","1:400","Ya"
"a0A9N00000EZVYk","0019N0000063rCG","38839443","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeSBY","Enabled","USD","1:400","Ya"
"a0A9N00000EZVYq","0019N0000063rCG","38862583","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFreeSBY","Enabled","USD","1:400","Ya"
"a0A9N00000EZVYv","0019N0000063rPD","39069571","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\IB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZVbt","0019N0000063rE1","39194026","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
"a0A9N00000EZVc0","0019N0000063rHT","38936489","PTGlobalKapitalInv-MT5-Live","Classic-Fixed","real\GKB\Classic-Fixed-SwapFree","Enabled","USD","400","Ya"
